nombre,materia,dependency_name,duracion,giros,norma,antes,durante,despues,requisitos,sancion,documento_acredita
Notificació de pago predial en construcciones y terrenos sanciones administrativas y multas federales no fiscales.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Relotificación de Predio,Catastro,TESORERÍA MUNICIPAL,72 hrs./ con excepción del Levantamiento Topográfico Catastral que se tiene que cumplir con los tiempos establecidos que marca la Ley.,Registro administrativo inmobiliario general municipal,N/A,"1. Solicitud por escrito
2. CŽdula de manifestación catastral
3. Documento que acredite su propiedad
4. òltimo pago de impuesto predial actualizado
5. Identificación Oficial del propietario
6. Manifiesto por parte del contribuyente.
7. Carta poder en caso de requerirse.
8. Certificado de no propiedad en caso de requerirse.
9. Planos autorizados por dependencia oficial  en caso de requerirse
10. Licencia y/o terminación de obra en caso de requerirse.
11. Pago de derechos de acuerdo al trámite solicitado.
12. Análisis y cotejo de los documentos solicitados.
13. En caso de requerirse se programa una inspección f’sica y/o levantamiento  para obtener la información correcta/ si no es el caso se turna al área que corresponde.",Los resultados obtenidos en campo se representan mediante una estructuración en medio analógico y se anexa a la documentación.,"1. Valuación verifica y valida información de documentación y de campo.
2. El área de Cartografia actualiza el sistema gráfico en base a información validada.
3. Captura y elabora documento de respuesta.
4. El área de atención al pœblico hace entrega del documento de respuesta.",Permitir acceso,N/A,"1. Certificación de clave.
2. Certificación de clave y valor catastral.
3. Certificación de plano manzanero.
4. Levantamiento topográfico catastral.
5. Verificación de linderos.
6. Constancia de actualización fiscal y catastral.
7. Oficio de cambio de clave.
8. Notificación catastral"
Visto Bueno al Comercio que se encuentra sujeto a recibir Licencia de funcionamiento industrial comercial o de servicios.,Comercial,DIRECCIÓN DE GOBIERNO,El tiempo corresponde a las cargas de trabajo pero es de 3 a 30 d’as hábiles posteriores a su ingreso; una vez realizada la verificación y siendo esta satisfactoria su constancia se entrega en tres d’as hábiles posterior a la visita,Industrial/ comercial o de servicios.,N/A,"1. El establecimiento solicita el visto bueno del área de protección civil/ respecto de las medidas de seguridad internas.
2. El área determina fecha de visita.
","1. El notificador acude al domicilio con base en la documentación expedida para el caso.
2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.
3. El verificador inicia la revisión del estado del establecimiento/ apegado a norma/ para certificar que se cuenta con las medidas precautorias de protección civil.
4. En caso de no cumplir con la norma/ el verificador entrega listado de requerimientos a revisar en una segunda visita.
En caso de contar con las medidas requeridas/ el verificador procederá a realizar el reporte respectivo para entregar el documento de visto bueno.",El verificador acude a entregar el documento de visto bueno requerido.,Ninguno/ estos documentos ya fueron presentados al momento de solicitar su Verificación en el CAE,N/A,Durante la Verificación se Obtiene el Acta de Verificación resultado de la visita; posteriormente el Usuario deberá recoger su Visto Bueno en la ventanilla del CAE donde  ingresó su expediente
Licencia de Construcción tipo inspección,Construcción,DIRECCIÓN DE DESARROLLO URBANO,15 min,Construcción,N/A,Inspección: Un inspector adscrito a esta dependencia visita un domicilio donde detecta una construcción en proceso/ derivado del recorrido diario en su zona o debido a una denuncia ciudadana.,El ciudadano deberá presentar Licencia de Uso de Suelo y Licencia de Construcción o Permiso de Obra,Si el ciudadano presenta la documentación requerida/ termina la inspección. Si NO cuenta con las Licencias o Permisos correspondientes/ se le deja un REQUERIMIENTO y tiene 72 hrs. para acudir a estas oficinas a aclarar su situación.,Presentar la Constancia/ Licencia o Permiso que se le requiera.,N/A,Si cumple: NINGUNO Si NO Cumple: se inicia procedimiento administrativo.
Licencia de Construcción Tipo verificación,Construcción,DIRECCIÓN DE DESARROLLO URBANO,30 min,Construcción,N/A,Verificación: Segœn el Art. 18.68 del Código Administrativo del Estado de MŽxico derivado de la solicitud de un trámite y para poder ser emitida la misma/ personal adscrito a esta Dirección/ con perfil de Arquitecto/ Ingeniero o TŽcnico en Construcción visita el predio para confirmar que el proyecto presentado al inicio del trámite por el usuario corresponda con lo construido.,El ciudadano deberá permitir el acceso a la construcción para una verificación.,Si la verificación arroja que el usuario ha cumplido con lo necesario se obtiene el trámite solicitado/ sino es as’ se le notifica las adecuaciones o cambios que debe efectuar para ajustarse a la normatividad vigente y as’ poder obtener su trámite.,Presentar la Constancia/ Licencia o Permiso que se le requiera.,N/A,Si pasa la verificación/ se obtiene el documento solicitado.
Licencia de Publicidad o Permiso provisional,Comercial,DIRECCIÓN DE DESARROLLO URBANO,15 min,Comercial,N/A,Inspección: Un inspector adscrito a esta Dirección solicita al particular su licencia de Publicidad para un anuncio publicitario en particular o su permiso para repartir propaganda.,El ciudadano deberá presentar al inspector La Licencia o Permiso Correspondiente,Si el ciudadano presenta la documentación requerida/ termina la inspección. Si NO cuenta con las Licencias o Permisos correspondientes/ se le deja un REQUERIMIENTO y tiene 72 hrs. para acudir a estas oficinas a aclarar su situación.,Presentar el permiso o Licencia correspondiente,N/A,Si cumple: NINGUNO Si NO Cumple: se inicia procedimiento administrativo.
Verificación de Licencia o Permiso,Comercial,DIRECCIÓN DE NORMATIVIDAD,la duración de la verificación es en promedio de 20 minutos.,Industrial/ comercial o de servicios.,N/A,Se realiza la verificación por recorrido programado de zona o en atención a reporte ciudadano.,"1.- El inspector verificador se presenta en el lugar para realizar la diligencia y se identifica con gafete oficial con fotograf’a.


2.- Explica el motivo de la visita/ ya sea orden/ revisión de rutina para verificar documentación que acredite actividad comercial o por observación que violente el Bando Municipal.

.3- De ser positiva la evaluación el verificador se retirará/ de ser negativa se hará acreedor a sanción conforme al Bando Municipal/ notificándole en el momento.

4.-  Toda sanción se entregará documento oficial de la Dirección de Normatividad/ firmado por el inspector que realizó la diligencia",En caso de no presentar Licencia o permiso/ o no cumplir con la normatividad vigente/ se levanta un acta de amonestación o infracción/ registrando datos del establecimiento para  posteriormente/ en caso de ser necesario/ realizar una orden de visita.,contar con licencia o permiso. Cumplir con la normatividad vigente.,N/A,Licencia de Funcionamiento o Permiso
Inspección,Afectación Ambiental,DIRECCIÓN DE MEDIO AMBIENTE,1 HR.,En general a cualquier actividad que pueda causar da–o al ambiente,N/A,1. Por mandamiento escrito de autoridad administrativa                             2. Elaboración de la documentación que valide el proceso.                       3. Definición y alcance que ha de tener la visita.,1.  identificación oficial del personal                    2. Identificación de la persona a quiŽn se dirige la diligencia/ y solicitud para que se nombre 2 testigos.                3. Inicio de la verificación.                            4. elaboración del Acta de referencia. Se integran las observaciones de la persona responsable.                  5. Entrega de exhortación a presentarse ante la autoridad correspondiente. (En caso de justificarse),Entrega del Requerimiento con fecha de presentación,Permitir la revisión,N/A,Acta de Inspección
Verificación Administrativa para la Conexión de Tomas de Agua Potable y Drenaje,Servicio de agua potable y alcantarillado,OPDAPAS,1. La verificación se realiza dentro de los siguientes 5 d’as hábiles despuŽs de la recepción de la solicitud y Validación de los documentos.                        2. La emisión del dictamen de factibilidad se realiza dentro de los 15 a 20 d’as hábiles siguientes al pago de derechos.,En todo el territorio municipal y conforme a tipo de uso de suelo,N/A,1. Solicitud para la contratación de servicio de agua potable y alcantarillado.                   2. Llenado de los formatos adecuados a su trámite conforme a un listado establecido.                         3. Se expide comprobante de ingreso de la solicitud.,Certificación de los datos del predio conforme al Archivo del área.                                 1. Tipo de uso.                           2. Detección de red de agua potable a 12 metros de distancia.                    3. Completar el Formato espec’fico de la verificación,1. Si se comprueba la existencia de red de agua potable a menos de 12 metros de distancia y se completa el formato de verificación/ se le informa al usuario de la continuidad del trámite a travŽs de la Verificación tŽcnica de Factibilidad.                        2. En caso de exceder la distancia establecida y volumen de agua/ se informa que la solicitud no procede/ por lo que tiene que reiniciar el trámite.   ,Permitir la visita al predio y tomar nota de las observaciones a que hace referencia el Formato de Verificación.,N/A,Ninguno
Verificación TŽcnica de Factibilidades,Servicio de agua potable y alcantarillado,OPDAPAS,1. La verificación se realiza dentro de los siguientes 5 d’as hábiles despuŽs de la recepción de la solicitud y Validación de los documentos.                        2. La emisión del dictamen de factibilidad se realiza dentro de los 15 a 20 d’as hábiles s,En todo el territorio municipal y conforme a tipo de uso de suelo,N/A,1. Solicitud para la contratación de servicio de agua potable y alcantarillado.                   2. Llenado de los formatos adecuados a su trámite conforme a un listado establecido.                         3. Se expide comprobante de ingreso de la solici,Certificación de los datos del predio:                 1. Tipo de uso.                 2. Detección de red de agua potable a 12 metros de distancia.                    3. Completar el Formato espec’fico de la verificación,1. Si se comprueba la existencia de red de agua potable a menos de 12 metros de distancia y se completa el formato de verificación/ se le informa al usuario la procedencia de su solicitud y se le extiende recibo para su liquidación.                                              2. En caso de exceder la distancia establecida y volumen de agua/ se informa que la solicitud no procede a menos que realice la ampliación de red por su cuenta. Y en su caso/ tramitar ante la CONAGUA la transmisión de derechos correspondiente.,Permitir la visita al predio y tomar nota de las observaciones a que hace referencia el Formato de Verificación.,N/A,Ninguno
Incorporación del Predio.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Subdivisión del Predio.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Certificación de Plano Manzanero.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Lotificación del Predio.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Fusión de Predios.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Certificación de Clave y Valor Catastral.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Levantamiento Topográfico Catastral.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Constancia de Actualización Fiscal y Catastral.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Verificación de Linderos.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Alta y Modificación a la Construcción.,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación
Cambio de Propietario,Recaudación Fiscal,TESORERÍA MUNICIPAL,30 minutos,"1. Impuesto general a bienes inmuebles conforme a uso de suelo en el territorio municipal.                     2. Multas impuestas por las
Autoridades Administrativas Federales no Fiscales/ a infractores domiciliados dentro
de la circunscripción territorial municipal",N/A,Revisión del estado de cuenta del predio/ sanción administrativa o multa federal no fiscal para elaborar la documentación conforme al objetivo de la visita.,1. El notificador acude al domicilio con base en la documentación expedida para el caso.    2. El verificador se identifica oficialmente con el propietario/ mediante la presentación del gafete.                              3. El verificador identifica al propietario o responsable.                                 4. El notificador entrega el estado de cuenta de la construcción al propietario/ en caso de terreno ubica al propietario y notifica o instala un letrero en el terreno.                                   5. En caso de sanción administrativa entrega un mandamiento de ejecución y requerimiento de pago fundado y motivado.                6. El verificador se retira.,El notificador entrega reporte de sucesos para dar inicio al tramite en la oficina espec’fica.,Ninguno,N/A,Notificación